csafp,csa_name,CSA_Pop,city_name,City_Pop
339,"Lincoln-Beatrice, NE",366021,Lincoln,291082
340,"Little Rock-North Little Rock, AR",913536,Jacksonville,949611
348,"Los Angeles-Long Beach, CA",18316743,Los Angeles,3898747
350,"Louisville/Jefferson County--Elizabethtown, KY-IN",1493133,Louisville/Jefferson County metro government (balance),386884
352,"Lubbock-Plainview, TX",396955,Lubbock,257141
356,"Macon-Bibb County--Warner Robins, GA",436853,Macon-Bibb County,157346
357,"Madison-Janesville-Beloit, WI",924543,Madison,269840
359,"Mankato-New Ulm, MN",129876,NA,NA
360,"Mansfield-Ashland-Bucyrus, OH",218783,NA,NA
361,"Marinette-Iron Mountain, WI-MI",95715,NA,NA
365,"McAllen-Edinburg, TX",964405,McAllen,142210
366,"Medford-Grants Pass, OR",308589,NA,NA
368,"Memphis-Clarksdale-Forrest City, TN-MS-AR",1377852,Memphis,633104
370,"Miami-Port St. Lucie-Fort Lauderdale, FL",7011936,Miami,442241
371,"Middlesborough-Corbin, KY",172880,NA,NA
372,"Midland-Odessa-Andrews, TX",365482,Midland,132524
376,"Milwaukee-Racine-Waukesha, WI",2036833,Milwaukee,577222
378,"Minneapolis-St. Paul, MN-WI",4104786,Minneapolis,429954
380,"Mobile-Daphne-Fairhope, AL",665147,Mobile,187041
384,"Monroe-Ruston, LA",269847,NA,NA
388,"Montgomery-Selma, AL",421645,Montgomery,200603
393,"Moses Lake-Othello, WA",123498,NA,NA
394,"Mount Pleasant-Alma, MI",105486,NA,NA
396,"Myrtle Beach-Conway, SC",463209,NA,NA
400,"Nashville-Davidson--Murfreesboro, TN",2350738,Nashville-Davidson metropolitan government (balance),689447
404,"New Bern-Morehead City, NC",193830,NA,NA
405,"New Haven-Hartford-Waterbury, CT",2665618,Orange,139911
406,"New Orleans-Metairie-Slidell, LA-MS",1340591,New Orleans,383997
408,"New York-Newark, NY-NJ-CT-PA",21859598,New York,8804190
412,"North Port-Bradenton, FL",1152221,NA,NA
416,"Oklahoma City-Shawnee, OK",1551717,Oklahoma City,681054
420,"Omaha-Fremont, NE-IA",1021156,Omaha,486051
422,"Orlando-Lakeland-Deltona, FL",4509624,Orlando,307573
424,"Paducah-Mayfield, KY-IL",138728,NA,NA
425,"Parkersburg-Marietta-Vienna, WV-OH",146629,NA,NA
427,"Peoria-Canton, IL",394781,Washington,689545
428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD",7390919,Philadelphia,1603797
429,"Phoenix-Mesa, AZ",5124113,Phoenix,1608139
430,"Pittsburgh-Weirton-Steubenville, PA-OH-WV",2727866,Washington,689545
438,"Portland-Lewiston-South Portland, ME",680094,Portland,652503
440,"Portland-Vancouver-Salem, OR-WA",3286669,Dallas,1304379
444,"Pueblo-Cañon City, CO",219740,Pueblo,111876
446,"Pullman-Moscow, WA-ID",89313,NA,NA
448,"Quincy-Hannibal, IL-MO",113084,Quincy,101636
450,"Raleigh-Durham-Cary, NC",2368947,Raleigh,467665
452,"Rapid City-Spearfish, SD",184027,NA,NA
454,"Redding-Red Bluff, CA",245262,NA,NA
456,"Reno-Carson City-Gardnerville Ranchos, NV-CA",699307,Reno,264165
458,"Richmond-Connersville, IN",89489,Richmond,226610
462,"Rochester-Austin-Winona, MN",318856,Austin,961855
464,"Rochester-Batavia-Seneca Falls, NY",1141965,Rochester,211328
466,"Rockford-Freeport-Rochelle, IL",428494,Rockford,148655
468,"Rocky Mount-Wilson-Roanoke Rapids, NC",288366,NA,NA
472,"Sacramento-Roseville, CA",2706315,Sacramento,524943
474,"Saginaw-Midland-Bay City, MI",374321,Midland,132524
476,"St. Louis-St. Charles-Farmington, MO-IL",2900730,Washington,689545
480,"Salisbury-Ocean Pines, MD",183881,NA,NA
482,"Salt Lake City-Provo-Orem, UT-ID",2805734,Salt Lake City,199723
484,"San Antonio-New Braunfels-Kerrville, TX",2785647,San Antonio,1434625
488,"San Jose-San Francisco-Oakland, CA",9001024,San Jose,1013240
496,"Savannah-Hinesville-Statesboro, GA",640193,Savannah,147780
500,"Seattle-Tacoma, WA",4993725,Seattle,737015
508,"Shreveport-Bossier City-Minden, LA",418533,Shreveport,187593
512,"Sioux City-Le Mars, IA-NE-SD",170124,NA,NA
515,"South Bend-Elkhart-Mishawaka, IN-MI",809876,South Bend,103453
517,"Spencer-Spirit Lake, IA",34567,NA,NA
518,"Spokane-Spokane Valley-Coeur d'Alene, WA-ID",785302,Spokane,228989
521,"Springfield-Amherst Town-Northampton, MA",693629,Springfield,169176
522,"Springfield-Jacksonville-Lincoln, IL",303113,Jacksonville,949611
523,"Starkville-Columbus, MS",128388,Columbus,905748
524,"State College-DuBois, PA",234885,NA,NA
532,"Syracuse-Auburn, NY",727441,Syracuse,148620
533,"Tallahassee-Bainbridge, FL-GA",421732,Tallahassee,196169
536,"Tucson-Nogales, AZ",1112320,Tucson,542629
538,"Tulsa-Bartlesville-Muskogee, OK",1165140,Tulsa,413066
539,"Tupelo-Corinth, MS",166162,NA,NA
540,"Tyler-Jacksonville, TX",297426,Jacksonville,949611
542,"Union City-Martin, TN",63495,NA,NA
544,"Victoria-Port Lavaca, TX",118504,NA,NA
545,"Virginia Beach-Chesapeake, VA-NC",1866723,Virginia Beach,459470
548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",10069592,Washington,689545
554,"Wausau-Stevens Point-Wisconsin Rapids, WI",283575,NA,NA
555,"Weatherford-Elk City, OK",61044,NA,NA
556,"Wichita-Arkansas City-Winfield, KS",687096,Wichita,397532
558,"Williamsport-Lock Haven, PA",150331,NA,NA
566,"Youngstown-Warren-Salem, OH",526151,Salem,175535
