CSAFP,Name,Pop2020,Pop2021,Pop2022,Pop2023
330,"Lansing-East Lansing-Owosso, MI",541297,527587,539950,541202
332,"Las Vegas-Henderson, NV",2317063,2348634,2377304,2392293
334,"Lawton-Duncan, OK",169498,170876,171290,171015
336,"Lexington-Fayette--Richmond--Frankfort, KY",762098,763341,766390,770951
338,"Lima-Van Wert-Celina, OH",220108,219215,218271,218031
339,"Lincoln-Beatrice, NE",361928,362593,363623,366021
340,"Little Rock-North Little Rock, AR",899670,902218,907146,913536
348,"Los Angeles-Long Beach, CA",18644655,18456030,18372157,18316743
350,"Louisville/Jefferson County--Elizabethtown, KY-IN",1487702,1488329,1488193,1493133
352,"Lubbock-Plainview, TX",389184,392886,393994,396955
356,"Macon-Bibb County--Warner Robins, GA",425436,428632,432213,436853
357,"Madison-Janesville-Beloit, WI",910261,910677,916440,924543
359,"Mankato-New Ulm, MN",129483,129627,129708,129876
360,"Mansfield-Ashland-Bucyrus, OH",219380,219306,218794,218783
361,"Marinette-Iron Mountain, WI-MI",95888,95587,95840,95715
365,"McAllen-Edinburg, TX",936708,945723,953939,964405
366,"Medford-Grants Pass, OR",311343,312990,309469,308589
368,"Memphis-Clarksdale-Forrest City, TN-MS-AR",1389915,1386073,1381304,1377852
370,"Miami-Port St. Lucie-Fort Lauderdale, FL",6908321,6899321,6949943,7011936
371,"Middlesborough-Corbin, KY",173958,173361,173045,172880
372,"Midland-Odessa-Andrews, TX",359002,352640,356628,365482
376,"Milwaukee-Racine-Waukesha, WI",2053234,2039509,2034852,2036833
378,"Minneapolis-St. Paul, MN-WI",4078801,4086652,4083144,4104786
380,"Mobile-Daphne-Fairhope, AL",646577,652822,657929,665147
384,"Monroe-Ruston, LA",275555,272854,270611,269847
388,"Montgomery-Selma, AL",424520,422387,422139,421645
393,"Moses Lake-Othello, WA",119734,121074,122478,123498
394,"Mount Pleasant-Alma, MI",106158,105534,105470,105486
396,"Myrtle Beach-Conway, SC",414434,430018,447816,463209
400,"Nashville-Davidson--Murfreesboro, TN",2250270,2273210,2314956,2350738
404,"New Bern-Morehead City, NC",189851,190677,191866,193830
405,"New Haven-Hartford-Waterbury, CT",2659619,2653681,2658724,2665618
406,"New Orleans-Metairie-Slidell, LA-MS",1373473,1365312,1348796,1340591
408,"New York-Newark, NY-NJ-CT-PA",22432947,22080505,21921290,21859598
412,"North Port-Bradenton, FL",1054525,1091619,1129623,1152221
416,"Oklahoma City-Shawnee, OK",1498161,1516875,1533308,1551717
420,"Omaha-Fremont, NE-IA",1004777,1009876,1013354,1021156
422,"Orlando-Lakeland-Deltona, FL",4197093,4276770,4402589,4509624
424,"Paducah-Mayfield, KY-IL",140134,139593,139015,138728
425,"Parkersburg-Marietta-Vienna, WV-OH",149256,148356,147348,146629
427,"Peoria-Canton, IL",402397,398497,395706,394781
428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD",7379687,7390817,7384211,7390919
429,"Phoenix-Mesa, AZ",4904373,5001980,5074792,5124113
430,"Pittsburgh-Weirton-Steubenville, PA-OH-WV",2767819,2759512,2738954,2727866
438,"Portland-Lewiston-South Portland, ME",662869,671034,676384,680094
440,"Portland-Vancouver-Salem, OR-WA",3280706,3293401,3285587,3286669
444,"Pueblo-Cañon City, CO",217099,218553,219088,219740
446,"Pullman-Moscow, WA-ID",87493,83624,88503,89313
448,"Quincy-Hannibal, IL-MO",114646,113982,113341,113084
450,"Raleigh-Durham-Cary, NC",2242298,2289005,2329082,2368947
452,"Rapid City-Spearfish, SD",173164,176976,181269,184027
454,"Redding-Red Bluff, CA",247990,247581,246236,245262
456,"Reno-Carson City-Gardnerville Ranchos, NV-CA",684677,695059,697488,699307
458,"Richmond-Connersville, IN",89939,89816,89605,89489
462,"Rochester-Austin-Winona, MN",316036,317547,317653,318856
464,"Rochester-Batavia-Seneca Falls, NY",1157597,1152132,1144813,1141965
466,"Rockford-Freeport-Rochelle, IL",435199,432032,429511,428494
468,"Rocky Mount-Wilson-Roanoke Rapids, NC",288748,287247,287053,288366
472,"Sacramento-Roseville, CA",2680839,2694598,2702582,2706315
474,"Saginaw-Midland-Bay City, MI",377471,376103,374773,374321
476,"St. Louis-St. Charles-Farmington, MO-IL",2924940,2916976,2904056,2900730
480,"Salisbury-Ocean Pines, MD",180668,182058,183028,183881
482,"Salt Lake City-Provo-Orem, UT-ID",2705697,2751715,2779891,2805734
484,"San Antonio-New Braunfels-Kerrville, TX",2637432,2685568,2737213,2785647
488,"San Jose-San Francisco-Oakland, CA",9225162,9043312,9007337,9001024
496,"Savannah-Hinesville-Statesboro, GA",606790,614924,629025,640193
500,"Seattle-Tacoma, WA",4953442,4961650,4980226,4993725
508,"Shreveport-Bossier City-Minden, LA",430375,424868,420470,418533
512,"Sioux City-Le Mars, IA-NE-SD",170043,169638,169459,170124
515,"South Bend-Elkhart-Mishawaka, IN-MI",812195,810616,810409,809876
517,"Spencer-Spirit Lake, IA",34083,34322,34555,34567
518,"Spokane-Spokane Valley-Coeur d'Alene, WA-ID",757153,773187,781313,785302
521,"Springfield-Amherst Town-Northampton, MA",699183,696981,694271,693629
522,"Springfield-Jacksonville-Lincoln, IL",308537,306715,304348,303113
523,"Starkville-Columbus, MS",130871,130058,128999,128388
524,"State College-DuBois, PA",238714,236319,235357,234885
532,"Syracuse-Auburn, NY",738321,732704,729700,727441
533,"Tallahassee-Bainbridge, FL-GA",413669,417461,419932,421732
536,"Tucson-Nogales, AZ",1091103,1096870,1106156,1112320
538,"Tulsa-Bartlesville-Muskogee, OK",1134141,1144983,1153593,1165140
539,"Tupelo-Corinth, MS",166965,166253,165833,166162
540,"Tyler-Jacksonville, TX",283897,288332,293427,297426
542,"Union City-Martin, TN",63696,63342,63417,63495
544,"Victoria-Port Lavaca, TX",118443,117811,117876,118504
545,"Virginia Beach-Chesapeake, VA-NC",1857542,1864252,1864545,1866723
548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",10028347,10018828,10023646,10069592
554,"Wausau-Stevens Point-Wisconsin Rapids, WI",282612,281193,282367,283575
555,"Weatherford-Elk City, OK",61852,61106,60751,61044
556,"Wichita-Arkansas City-Winfield, KS",682161,683138,684110,687096
558,"Williamsport-Lock Haven, PA",151633,151576,150810,150331
566,"Youngstown-Warren-Salem, OH",532555,529453,527217,526151
